codigo;institucion
1001;ESCUELA POLITECNICA NACIONAL
1002;ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO
1003;ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI
1005;UNIVERSIDAD CENTRAL DEL ECUADOR
1006;UNIVERSIDAD DE GUAYAQUIL
1007;UNIVERSIDAD DE CUENCA
1008;UNIVERSIDAD NACIONAL DE LOJA
1009;UNIVERSIDAD TECNICA DE MANABI
1010;UNIVERSIDAD TECNICA DE AMBATO
1011;UNIVERSIDAD TECNICA DE MACHALA
1012;UNIVERSIDAD TECNICA LUIS VARGAS TORRES DE ESMERALDAS
1013;UNIVERSIDAD TECNICA DE BABAHOYO
1014;UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO
1015;UNIVERSIDAD TECNICA DEL NORTE
1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI
1017;UNIVERSIDAD ESTATAL DE BOLIVAR
1018;UNIVERSIDAD AGRARIA DEL ECUADOR
1019;UNIVERSIDAD NACIONAL DE CHIMBORAZO
1020;UNIVERSIDAD TECNICA DE COTOPAXI
1021;ESCUELA SUPERIOR POLITECNICA DEL LITORAL
1022;UNIVERSIDAD ANDINA SIMON BOLIVAR
1023;UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA
1024;UNIVERSIDAD ESTATAL DE MILAGRO
1025;UNIVERSIDAD ESTATAL DEL SUR DE MANABI
1026;FACULTAD LATINOAMERICANA  DE CIENCIAS SOCIALES
1027;PONTIFICIA UNIVERSIDA D CATOLICA DEL ECUADOR
1028;UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL
1029;UNIVERSIDAD CATOLICA DE CUENCA
1030;UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL
1031;UNIVERSIDAD TECNICA PARTICULAR DE LOJA
1032;UNIVERSIDAD TECNOLOGICA EQUINOCCIAL
1033;UNIVERSIDAD DEL AZUAY
1034;UNIVERSIDAD POLITECNICA SALESIANA
1035;ESCUELA SUPERIOR POLITECNICA ECOLOGICA AMAZONICA
1036;UNIVERSIDAD PARTICULAR INTERNACIONAL SEK
1037;UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPIRITU SANTO
1038;UNIVERSIDAD SAN FRANCISCO DE QUITO
1039;ESCUELA POLITECNICA JAVERIANA DEL ECUADOR
1040;UNIVERSIDAD DE LAS AMERICAS
1041;UNIVERSIDAD INTERNACIONAL DEL ECUADOR
1042;UNIVERSIDAD REGIONA L AUTONOMA DE LOS ANDES
1043;UNIVERSIDAD TECNOLOGICA AMERICA
1044;UNIVERSIDAD DEL PACIFICO ESCUELA  DE NEGOCIOS
1045;UNIVERSIDAD TECNOLOGICA INDOAMERICA
1046;UNIVERSIDAD COOPERATIVA DE COLOMBIA DEL ECUADOR (EXTINGUIDA SEGUN MANDATO 14 DE LA ASAMBLEA NACIONAL CONSTITUYENTE ART.1)
1047;UNIVERSIDAD JEFFERSON (SUSPENDIDA MEDIANTE RESOLUCION DEL PLENO DEL CONESUP)
1048;UNIVERSIDAD AUTONOMA DE QUITO
